Generation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,10,7,1,15,13,11,6,4,9,3,14,8,2,5,12
1,10,7,1,15,13,11,6,4,9,3,14,8,2,5,12
2,6,4,9,3,8,2,5,12,14,10,7,1,15,13,11
3,10,12,5,15,13,11,6,4,9,3,14,8,7,1,2
4,10,12,5,15,13,11,6,4,9,3,14,8,7,1,2
5,10,12,5,15,13,11,6,4,9,3,14,8,7,1,2
6,10,12,5,15,13,11,6,4,9,3,14,8,7,1,2
7,10,12,5,15,13,11,6,4,9,3,14,8,7,1,2
8,10,12,5,15,13,11,6,4,9,3,14,8,7,1,2
9,10,12,5,15,13,11,6,4,9,3,14,8,7,1,2
10,10,12,5,15,13,11,6,4,9,3,14,8,7,1,2
11,10,12,5,15,13,11,6,4,9,3,14,8,7,1,2
12,1,2,5,15,13,11,6,4,9,10,12,3,14,8,7
13,1,2,5,15,13,11,6,4,9,10,12,3,14,8,7
14,1,2,5,15,13,11,6,4,9,10,12,3,14,8,7
15,14,8,7,15,13,11,6,4,1,2,5,9,10,12,3
16,14,8,7,15,13,11,6,4,1,2,5,9,10,12,3
17,14,8,7,15,13,11,6,4,1,2,5,9,10,12,3
18,14,8,7,15,13,11,6,4,1,2,5,9,10,12,3
19,14,8,7,15,13,11,6,4,1,2,5,9,10,12,3
20,14,8,7,15,13,11,6,4,1,2,5,9,10,12,3
21,14,8,7,15,13,11,6,4,1,2,5,9,10,12,3
22,14,8,7,15,13,11,6,4,1,2,5,9,10,12,3
23,14,8,7,15,13,11,6,4,1,2,5,9,10,12,3
24,14,8,7,15,13,11,6,4,1,2,5,9,10,12,3
25,14,8,7,15,13,11,6,4,1,2,5,9,10,12,3
26,14,8,7,15,13,11,6,4,1,2,5,9,10,12,3
27,14,8,7,15,13,11,6,4,1,2,5,9,10,12,3
28,14,8,7,15,13,11,6,4,1,2,5,9,10,12,3
29,14,8,7,15,13,11,6,4,1,2,5,9,10,12,3
30,14,8,7,15,13,11,6,4,1,2,5,9,10,12,3
